model,prompt,count,mean,std,min,25%,50%,75%,max
gemini_llm,prompt_A,100.0,5.02,1.0915654591068515,2.0,4.0,5.0,6.0,6.0
gemini_llm,prompt_B,100.0,5.16,0.9818555922539751,3.0,4.0,6.0,6.0,6.0
gemini_llm,prompt_C,100.0,4.62,1.269534234165102,2.0,3.75,5.0,6.0,6.0
mistral_llm,prompt_A,100.0,4.58,1.0841372308677235,0.0,4.75,5.0,5.0,6.0
mistral_llm,prompt_B,100.0,4.62,1.0615407137122377,0.0,5.0,5.0,5.0,6.0
mistral_llm,prompt_C,100.0,4.86,1.3028329660296971,0.0,4.0,5.0,6.0,6.0
openai_llm,prompt_A,100.0,4.66,1.3425439443177432,2.0,4.0,5.0,6.0,6.0
openai_llm,prompt_B,100.0,4.93,1.2411708385653646,2.0,4.0,5.0,6.0,6.0
openai_llm,prompt_C,100.0,4.93,1.1913408115618844,3.0,4.0,6.0,6.0,6.0
